step,proxy,gold,kl
0,-0.5090214830962122,-0.0037990675108617016,-1.1924500680236083e-18
5,-0.24773039279812564,0.18581179861442795,0.03259919182555346
10,0.007384112449320612,0.3640974670978032,0.1280796174153641
15,0.2515781668651647,0.5260214491538502,0.2804394764111239
20,0.482272032658675,0.6678234441058274,0.4819994007275621
25,0.6981894571961296,0.7870806626577191,0.7245877408981182
30,0.8979992631264382,0.8827497205728745,0.9989707067640063
35,1.079557365198681,0.9552949027778421,1.2935983637429465
40,1.2409745438248188,1.0067891429351334,1.595825252725709
45,1.3817881285326248,1.0405009829112437,1.8946294236415633
50,1.5027806222245392,1.0601618543013827,2.1815874013604226
55,1.6054864694044295,1.0693447395486946,2.4508288181064986
60,1.6919104599156705,1.0710884915575256,2.698981417522241
65,1.7642740346912922,1.0677639649379322,2.9248479826397094
70,1.8247645738896199,1.061116197074602,3.12877785905472
75,1.8753697723706084,1.0523852641446487,3.3120347463021615
80,1.9178101364918416,1.0424340536794012,3.4763371434982187
85,1.9535321654048796,1.0318541497340634,3.6235638909093693
90,1.9837298097720149,1.0210456349531303,3.7555744135371834
95,2.009377486632177,1.0102746691079316,3.8741089994607196
100,2.0312660769475177,0.9997140621802297,3.980744754502514
105,2.050036961459918,0.9894715330192468,4.076886424488983
110,2.066211532513436,0.9796094757107752,4.163775412830358
115,2.0802153539375765,0.9701591259244274,4.242505579732771
120,2.0923972417153593,0.9611310287070444,4.314039414225624
125,2.103044099481908,0.9525228323924224,4.379222075615421
130,2.11239249375424,0.944324893764113,4.4387932151421925
135,2.1206378398881225,0.936524005723203,4.493397453689301
140,2.127941843438707,0.9291055938873677,4.543594358787839
145,2.1344386200287007,0.9220547942537966,4.589868314557872
150,2.140239756704053,0.9153568265287034,4.6326382392390775
155,2.145438485421319,0.9089970093783873,4.672266862384051
160,2.150113096241247,0.9029606585100779,4.709069234020376
165,2.154329701283415,0.8972330031238486,4.743320227466329
170,2.158144453554696,0.8917991739534473,4.7752609337669965
175,2.1616053181592982,0.8866442642563891,4.805103970901936
180,2.1647534838975884,0.8817534404186915,4.833037817170037
185,2.1676244910656868,0.8771120731959445,4.85923032084642
190,2.17024913791246,0.8727058654962806,4.883831545664216
195,2.1726542152918205,0.8685209613922782,4.906976096653626
200,2.1748631076696956,0.8645440296203223,4.928785045238436
205,2.176896289319023,0.8607623212600917,4.949367544887536
210,2.1787717373066458,0.8571637051367509,4.968822204113969
215,2.1805052775031806,0.8537366861081407,4.987238264369374
220,2.182110875968237,0.8504704114449647,5.004696616632694
225,2.18360088530501,0.8473546696448738,5.021270681441727
230,2.1849862536150186,0.8443798847701846,5.037027171586931
235,2.1862767022614,0.8415371081243571,5.052026753515383
240,2.1874808775843646,0.8388180079945063,5.066324621718518
245,2.18860648088062,0.8362148573835257,5.07997099929705
250,2.189660380279713,0.8337205191588581,5.093011577043995
255,2.1906487075750896,0.8313284278348572,5.105487902484601
260,2.1915769425670573,0.8290325672383388,5.117437729219318
265,2.192449987032552,0.8268274435277649,5.128895335587163
270,2.193272230044287,0.8247080533862684,5.139891820121229
275,2.1940476060159075,0.8226698476268194,5.150455379570492
280,2.1947796465497147,0.820708690874789,5.160611573508217
285,2.1954715269098974,0.8188208183741146,5.170383577850185
290,2.196126107737984,0.8170027912520467,5.1797924280823455
295,2.1967459724681246,0.8152514517412387,5.188857251751031
300,2.1973334607859343,0.8135638798808881,5.19759548887645
305,2.197890698401696,0.8119373531034576,5.206023098449571
310,2.1984196233703823,0.810369309880349,5.2141547490575135
315,2.1989220091791695,0.808857318282279,5.222003991905579
320,2.1993994848290366,0.8073990499490133,5.229583414984697
325,2.1998535521521414,0.8059922596002502,5.236904777772961
330,2.2002856006234666,0.8046347698911969,5.243979126558065
